,return,market cap
A000010,,
A000020,0.20073891625615714,272332.0
A000030,0.23529411764705802,10647000.0
A000040,-0.6232665639445302,61186.0
A000050,-0.09150326797385605,381072.0
A000060,0.5359477124183006,2592943.0
A000070,0.020920502092050184,1044841.0
A000075,-0.12539184952978055,16966.0
A000080,0.14218009478673194,1690220.0
A000085,,
A000087,-0.005434782608696242,20682.0
A000100,0.1455832274061168,2554831.0
A000105,0.23939055727152322,45112.0
A000107,,
A000110,,
A000120,-0.21787709497206842,3193728.0
A000140,-0.18875502008032113,234388.0
A000145,-0.06285714285714297,4633.0
A000147,,
A000149,,
A000150,0.07619047619047602,2169374.0
A000155,0.12404287901990857,323773.0
A000157,0.10876132930513543,72349.0
A000180,-0.17610062893081724,182749.0
A000200,,
A000205,,
A000210,-0.053960964408725144,2867520.0
A000215,0.07817589576547204,125780.0
A000220,0.2809472551130233,75786.0
A000225,0.1067961165048533,7753.0
A000227,0.49200000000000227,3060.0
A000230,-0.4127906976744191,158928.0
A000240,-0.08915662650602357,1758081.0
A000250,,
A000270,-0.14649681528662406,13579672.0
A000280,,
A000300,-0.22751322751322745,64328.0
A000310,,
A000315,,
A000317,,
A000320,0.03205128205128139,213988.0
A000325,0.41237113402061965,3807.0
A000327,0.12,
A000360,,
A000365,,
A000370,0.1502048890772907,950255.0
A000380,,
A000390,-0.2552976791120092,193330.0
A000400,0.2033195020746898,389412.0
A000420,,
A000425,,
A000430,-0.16517857142857087,231880.0
A000440,,
A000470,,
A000475,,
A000480,0.016336056009334413,348400.0
A000490,0.342657342657344,227791.0
A000500,0.033783783783782925,95480.0
A000520,0.014268727705113022,46915.0
A000540,0.44399460188933854,343698.0
A000545,0.35802469135802556,3802.0
A000547,0.34567901234567955,3348.0
A000590,-0.0061957868649321545,92589.0
A000610,,
A000640,-0.1821086261980835,785693.0
A000650,0.04525386313465662,135347.0
A000660,0.7114093959731504,55692181.0
A000670,0.009398496240601246,1978351.0
