firm,market cap,return,vol
A000020,272332.0,9.999999999999854,2.7357823193972606
A000030,10647000.0,-1.2658227848102888,1.8822194371591363
A000040,61186.0,47.239263803681,4.217487975878977
A000050,381072.0,2.5454545454545174,2.070245641915073
A000060,2592943.0,-11.349036402569613,1.3821995038383963
A000070,1044841.0,-6.477732793522318,3.6498040212886362
A000075,16966.0,-0.5347593582887833,1.5838459598444852
A000080,1690220.0,-13.709677419354783,1.671669390414185
A000087,20682.0,-5.449591280653898,0.6329658238200949
A000100,2554831.0,7.4245939675173345,2.1038101769359807
A000105,45112.0,10.810810810810946,1.6349450443529538
A000120,3193728.0,20.344827586206883,2.085885710212943
A000140,234388.0,-7.450980392156881,1.0415627903256426
A000145,4633.0,-7.889344262294995,1.229737648481439
A000150,2169374.0,1.7391304347825542,2.2773332686671863
A000155,323773.0,5.817174515235379,0.6762244784369494
A000157,72349.0,5.124653739612217,0.6663203182181469
A000180,182749.0,24.52830188679238,2.0279812219166793
A000210,2867520.0,1.7156862745098866,2.163623847691821
A000215,125780.0,2.1021021021021324,1.7714876155719899
A000220,75786.0,35.102040816326465,4.958727168041764
A000225,7753.0,25.52238805970144,3.7666048691470313
A000227,3060.0,15.281501340482517,3.927431491585822
A000230,158928.0,-1.3157894736841813,1.3309169823078304
A000240,1758081.0,0.2724795640327127,1.2047591314096708
A000270,13579672.0,3.987730061349559,1.6083435742543228
A000300,64328.0,66.89280868385363,3.2907417508520242
A000320,213988.0,-2.1472392638037463,1.406409681659584
A000325,3807.0,4.228855721393021,1.952390503099746
A000370,950255.0,-11.552795031055895,1.83467012757908
A000390,193330.0,0.5398110661268385,1.8344556357335302
A000400,389412.0,6.724137931034568,2.771316118083682
A000430,231880.0,43.243243243243136,3.537265155115614
A000480,348400.0,-0.3500583430571802,0.5655640387402882
A000490,227791.0,-12.769953051643135,3.8166659020061964
A000500,95480.0,27.394209354120292,2.358255121358289
A000520,46915.0,244.28086070215187,9.01998170949629
A000540,343698.0,11.742424242424265,2.356840669464097
A000545,3802.0,25.52552552552556,2.563487595363256
A000547,3348.0,52.40274599542345,3.9360529693983883
A000590,92589.0,24.078624078624134,2.8679146820894097
A000640,785693.0,-6.324110671936689,1.903635200561749
A000650,135347.0,3.169398907103904,0.8517565963879462
A000660,55692181.0,10.810810810810878,2.256803341265201
A000670,1978351.0,-21.656050955414052,1.3545355345420595
A000680,228135.0,17.028380634390583,1.286547515671385
A000700,165366.0,10.371517027863852,2.3543784638738683
A000720,4042214.0,77.41046831955916,4.2693142084693925
A000725,4691.0,549.2146596858641,8.670345283433747
A000760,50400.0,21.12676056338032,3.490361578453128
A000810,12649081.0,1.5065913370998274,1.2158092709362012
A000815,564984.0,3.4482758620688836,1.0057111005984114
A000850,122320.0,-1.2750455373405245,1.9764509528172238
A000860,243425.0,-10.569105691056935,1.1640988838668702
A000880,3110788.0,-4.534883720930205,1.8418543415020208
A000885,10209.0,6.7441860465116354,2.5823497425015054
A00088K,407867.0,-5.234159779614334,1.019258867478283
A000890,94253.0,13.79310344827589,1.9123690737432049
A000910,61041.0,43.77406931964061,3.431196915293978
A000950,32424.0,44.356955380577375,3.9053319904122996
A000970,204520.0,55.09761388286347,2.728106179337696
A000990,532414.0,22.68907563025211,3.10853385295353
A000995,3836.0,17.57575757575762,2.25384993522552
A001020,66686.0,26.190476190476165,3.7560131915045445
A001040,5295625.0,-5.056179775280989,1.5754966820578344
A001045,174263.0,-1.4473684210525861,1.1222181623323921
A001060,867551.0,-10.462555066079293,2.34890842001977
A001065,4176.0,-0.38461538461542766,1.6708619925726989
A001067,3584.0,4.84061393152293,1.666597036697648
A001070,78864.0,-16.98717948717944,2.0042255410575978
A001080,75530.0,6.830601092896171,0.8395326866972334
A001120,1052334.0,-8.931698774080632,1.8213144558510883
A001130,281385.0,15.757575757575637,1.2921962890650027
A001140,15780.0,75.73221757322175,3.8588381040547413
A001200,338548.0,9.361702127659765,2.4536717309210974
A001210,49450.0,19.83584131326934,2.696734949735405
A001230,1049760.0,-9.5238095238095,2.839482748590869
A001250,230682.0,58.523725834798014,3.4135298173651423
A001260,59210.0,312.2670807453416,8.138219343654669
A001270,260803.0,-0.6085192697769637,1.71644975796558
A001275,68400.0,-4.194260485651369,1.2352000402357082
A001290,87957.0,82.55813953488362,5.2622067781376565
A001340,118809.0,43.60902255639096,2.6100927898148987
A001360,166536.0,-8.399800598205342,3.4139089965775575
A001380,179857.0,-22.622107969151738,4.392639074360662
A001390,303149.0,-2.3465703971119023,3.7330919091816526
A001420,26334.0,30.242510699001592,3.447933121477752
